2025-04-24 00:14:22,975 - INFO - Starting scan of https://google.com/ with 4746 paths
2025-04-24 00:14:22,975 - INFO - Using 100 threads, timeout=10s, retries=5
2025-04-24 00:14:23,208 - INFO - Found: https://google.com/.well-known/assetlinks.json - Status: 200
2025-04-24 00:14:23,366 - WARNING - Connection pool is full, discarding connection: google.com. Connection pool size: 10
2025-04-24 00:14:23,369 - WARNING - Connection pool is full, discarding connection: google.com. Connection pool size: 10
2025-04-24 00:14:23,371 - WARNING - Connection pool is full, discarding connection: google.com. Connection pool size: 10
2025-04-24 00:14:23,371 - WARNING - Connection pool is full, discarding connection: google.com. Connection pool size: 10
2025-04-24 00:14:23,371 - WARNING - Connection pool is full, discarding connection: google.com. Connection pool size: 10
2025-04-24 00:14:23,372 - WARNING - Connection pool is full, discarding connection: google.com. Connection pool size: 10
2025-04-24 00:14:23,374 - WARNING - Connection pool is full, discarding connection: google.com. Connection pool size: 10
2025-04-24 00:14:23,375 - WARNING - Connection pool is full, discarding connection: google.com. Connection pool size: 10
2025-04-24 00:14:23,377 - WARNING - Connection pool is full, discarding connection: google.com. Connection pool size: 10
2025-04-24 00:14:23,379 - WARNING - Connection pool is full, discarding connection: google.com. Connection pool size: 10
2025-04-24 00:14:23,380 - WARNING - Connection pool is full, discarding connection: google.com. Connection pool size: 9
2025-04-24 00:14:23,382 - WARNING - Connection pool is full, discarding connection: google.com. Connection pool size: 8
2025-04-24 00:14:23,382 - WARNING - Connection pool is full, discarding connection: google.com. Connection pool size: 8
2025-04-24 00:14:23,383 - WARNING - Connection pool is full, discarding connection: google.com. Connection pool size: 8
2025-04-24 00:14:23,388 - WARNING - Connection pool is full, discarding connection: google.com. Connection pool size: 10
2025-04-24 00:14:23,389 - WARNING - Connection pool is full, discarding connection: google.com. Connection pool size: 10
2025-04-24 00:14:23,389 - WARNING - Connection pool is full, discarding connection: google.com. Connection pool size: 10
2025-04-24 00:14:23,391 - WARNING - Connection pool is full, discarding connection: google.com. Connection pool size: 10
2025-04-24 00:14:23,392 - WARNING - Connection pool is full, discarding connection: google.com. Connection pool size: 10
2025-04-24 00:14:23,393 - WARNING - Connection pool is full, discarding connection: google.com. Connection pool size: 10
2025-04-24 00:14:23,393 - WARNING - Connection pool is full, discarding connection: google.com. Connection pool size: 10
2025-04-24 00:14:23,396 - WARNING - Connection pool is full, discarding connection: google.com. Connection pool size: 10
2025-04-24 00:14:23,396 - WARNING - Connection pool is full, discarding connection: google.com. Connection pool size: 10
2025-04-24 00:14:23,397 - WARNING - Connection pool is full, discarding connection: google.com. Connection pool size: 10
2025-04-24 00:14:23,398 - WARNING - Connection pool is full, discarding connection: google.com. Connection pool size: 10
2025-04-24 00:14:23,399 - WARNING - Connection pool is full, discarding connection: google.com. Connection pool size: 10
2025-04-24 00:14:23,401 - WARNING - Connection pool is full, discarding connection: google.com. Connection pool size: 10
2025-04-24 00:14:23,402 - WARNING - Connection pool is full, discarding connection: google.com. Connection pool size: 10
2025-04-24 00:14:23,403 - WARNING - Connection pool is full, discarding connection: google.com. Connection pool size: 10
2025-04-24 00:14:23,404 - WARNING - Connection pool is full, discarding connection: google.com. Connection pool size: 10
2025-04-24 00:14:23,404 - WARNING - Connection pool is full, discarding connection: google.com. Connection pool size: 10
2025-04-24 00:14:23,408 - WARNING - Connection pool is full, discarding connection: google.com. Connection pool size: 9
2025-04-24 00:14:23,408 - WARNING - Connection pool is full, discarding connection: google.com. Connection pool size: 9
2025-04-24 00:14:23,408 - WARNING - Connection pool is full, discarding connection: google.com. Connection pool size: 9
2025-04-24 00:14:23,410 - WARNING - Connection pool is full, discarding connection: google.com. Connection pool size: 8
2025-04-24 00:14:23,410 - WARNING - Connection pool is full, discarding connection: google.com. Connection pool size: 8
2025-04-24 00:14:23,412 - WARNING - Connection pool is full, discarding connection: google.com. Connection pool size: 8
2025-04-24 00:14:23,414 - WARNING - Connection pool is full, discarding connection: google.com. Connection pool size: 8
2025-04-24 00:14:23,420 - WARNING - Connection pool is full, discarding connection: google.com. Connection pool size: 10
2025-04-24 00:14:23,437 - WARNING - Connection pool is full, discarding connection: google.com. Connection pool size: 8
2025-04-24 00:14:23,456 - WARNING - Connection pool is full, discarding connection: google.com. Connection pool size: 8
2025-04-24 00:14:23,556 - INFO - Found: https://google.com/.well-known/security.txt - Status: 200
2025-04-24 00:14:23,624 - WARNING - Connection pool is full, discarding connection: www.google.com. Connection pool size: 10
2025-04-24 00:14:23,626 - WARNING - Connection pool is full, discarding connection: www.google.com. Connection pool size: 10
2025-04-24 00:14:23,628 - WARNING - Connection pool is full, discarding connection: www.google.com. Connection pool size: 10
2025-04-24 00:14:23,639 - WARNING - Connection pool is full, discarding connection: www.google.com. Connection pool size: 10
2025-04-24 00:14:23,651 - WARNING - Connection pool is full, discarding connection: www.google.com. Connection pool size: 10
2025-04-24 00:14:23,663 - WARNING - Connection pool is full, discarding connection: www.google.com. Connection pool size: 10
2025-04-24 00:14:23,704 - WARNING - Connection pool is full, discarding connection: www.google.com. Connection pool size: 10
